"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","match"
"257","BOCK","b","8","1","The",1,16,306,100,"mismatch"
"258","BOCK","b","8","1","defect",2,16,527,100,"mismatch"
"259","BOCK","b","8","1","in",3,16,618,100,"mismatch"
"260","BOCK","b","8","1","the",4,16,511,100,"mismatch"
"261","BOCK","b","8","1","appliances",5,16,909,100,"mismatch"
"262","BOCK","b","8","1","likely",6,16,1257,100,"mismatch"
"263","BOCK","b","8","1","was",7,16,440,100,"mismatch"
"264","BOCK","b","8","1","unknown",8,16,589,100,"mismatch"
"265","BOCK","b","8","1","to",9,16,476,100,"mismatch"
"266","BOCK","b","8","1","consumers",10,16,1214,100,"mismatch"
"267","BOCK","b","8","1","and",11,16,400,100,"mismatch"
"268","BOCK","b","8","1","government",12,16,489,100,"mismatch"
"269","BOCK","b","8","1","regulators.",13,16,486,100,"mismatch"
"357","BOCK","a","19","1","The",1,22,334,0,"match"
"358","BOCK","a","19","1","warning",2,22,557,0,"match"
"359","BOCK","a","19","1","from",3,22,406,0,"match"
"360","BOCK","a","19","1","the",4,22,465,0,"match"
"361","BOCK","a","19","1","expert",5,22,468,0,"match"
"362","BOCK","a","19","1","unsurprisingly",6,22,804,0,"match"
"363","BOCK","a","19","1","was",7,22,468,0,"match"
"364","BOCK","a","19","1","a",8,22,358,0,"match"
"365","BOCK","a","19","1","shock",9,22,452,0,"match"
"366","BOCK","a","19","1","to",10,22,422,0,"match"
"367","BOCK","a","19","1","the",11,22,509,0,"match"
"368","BOCK","a","19","1","residents",12,22,1171,0,"match"
"369","BOCK","a","19","1","of",13,22,384,0,"match"
"370","BOCK","a","19","1","the",14,22,374,0,"match"
"371","BOCK","a","19","1","city.",15,22,419,0,"match"
"512","BOCK","b","18","1","The",1,30,318,100,"mismatch"
"513","BOCK","b","18","1","entrance",2,30,503,100,"mismatch"
"514","BOCK","b","18","1","to",3,30,397,100,"mismatch"
"515","BOCK","b","18","1","the",4,30,458,100,"mismatch"
"516","BOCK","b","18","1","exhibits",5,30,1088,100,"mismatch"
"517","BOCK","b","18","1","evidently",6,30,497,100,"mismatch"
"518","BOCK","b","18","1","was",7,30,436,100,"mismatch"
"519","BOCK","b","18","1","hard",8,30,441,100,"mismatch"
"520","BOCK","b","18","1","to",9,30,342,100,"mismatch"
"521","BOCK","b","18","1","locate",10,30,911,100,"mismatch"
"522","BOCK","b","18","1","on",11,30,336,100,"mismatch"
"523","BOCK","b","18","1","the",12,30,331,100,"mismatch"
"524","BOCK","b","18","1","diagram.",13,30,1196,100,"mismatch"
"737","BOCK","a","5","1","The",1,44,336,100,"match"
"738","BOCK","a","5","1","problem",2,44,497,100,"match"
"739","BOCK","a","5","1","in",3,44,395,100,"match"
"740","BOCK","a","5","1","the",4,44,366,100,"match"
"741","BOCK","a","5","1","store",5,44,713,100,"match"
"742","BOCK","a","5","1","ultimately",6,44,829,100,"match"
"743","BOCK","a","5","1","was",7,44,481,100,"match"
"744","BOCK","a","5","1","solved",8,44,977,100,"match"
"745","BOCK","a","5","1","by",9,44,393,100,"match"
