"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","gramm","number"
"112","KERNELS","d","16","1","The",1,7,373,100,"gram","pl"
"113","KERNELS","d","16","1","old",2,7,408,100,"gram","pl"
"114","KERNELS","d","16","1","keys",3,7,423,100,"gram","pl"
"115","KERNELS","d","16","1","unsurprisingly",4,7,724,100,"gram","pl"
"116","KERNELS","d","16","1","were",5,7,1543,100,"gram","pl"
"117","KERNELS","d","16","1","rusty",6,7,508,100,"gram","pl"
"118","KERNELS","d","16","1","from",7,7,459,100,"gram","pl"
"119","KERNELS","d","16","1","many",8,7,446,100,"gram","pl"
"120","KERNELS","d","16","1","years",9,7,483,100,"gram","pl"
"121","KERNELS","d","16","1","of",10,7,423,100,"gram","pl"
"122","KERNELS","d","16","1","disuse,",11,7,930,100,"gram","pl"
"123","KERNELS","d","16","1","but",12,7,491,100,"gram","pl"
"124","KERNELS","d","16","1","they",13,7,435,100,"gram","pl"
"125","KERNELS","d","16","1","would",14,7,519,100,"gram","pl"
"126","KERNELS","d","16","1","still",15,7,2004,100,"gram","pl"
"127","KERNELS","d","16","1","open",16,7,485,100,"gram","pl"
"128","KERNELS","d","16","1","the",17,7,415,100,"gram","pl"
"129","KERNELS","d","16","1","door",18,7,584,100,"gram","pl"
"130","KERNELS","d","16","1","to",19,7,585,100,"gram","pl"
"131","KERNELS","d","16","1","the",20,7,392,100,"gram","pl"
"132","KERNELS","d","16","1","attic.",21,7,403,100,"gram","pl"
"188","KERNELS","a","13","1","The",1,11,322,100,"gram","sg"
"189","KERNELS","a","13","1","back",2,11,407,100,"gram","sg"
"190","KERNELS","a","13","1","door",3,11,390,100,"gram","sg"
"191","KERNELS","a","13","1","accidentally",4,11,534,100,"gram","sg"
"192","KERNELS","a","13","1","was",5,11,421,100,"gram","sg"
"193","KERNELS","a","13","1","left",6,11,439,100,"gram","sg"
"194","KERNELS","a","13","1","unlocked",7,11,511,100,"gram","sg"
"195","KERNELS","a","13","1","by",8,11,459,100,"gram","sg"
"196","KERNELS","a","13","1","the",9,11,443,100,"gram","sg"
"197","KERNELS","a","13","1","cleaning",10,11,468,100,"gram","sg"
"198","KERNELS","a","13","1","service,",11,11,606,100,"gram","sg"
"199","KERNELS","a","13","1","and",12,11,468,100,"gram","sg"
"200","KERNELS","a","13","1","all",13,11,438,100,"gram","sg"
"201","KERNELS","a","13","1","of",14,11,460,100,"gram","sg"
"202","KERNELS","a","13","1","the",15,11,497,100,"gram","sg"
"203","KERNELS","a","13","1","expensive",16,11,519,100,"gram","sg"
"204","KERNELS","a","13","1","equipment",17,11,550,100,"gram","sg"
"205","KERNELS","a","13","1","went",18,11,446,100,"gram","sg"
"206","KERNELS","a","13","1","missing.",19,11,581,100,"gram","sg"
"226","KERNELS","b","22","1","The",1,13,326,100,"ungram","sg"
"227","KERNELS","b","22","1","winding",2,13,428,100,"ungram","sg"
"228","KERNELS","b","22","1","path",3,13,1479,100,"ungram","sg"
"229","KERNELS","b","22","1","happily",4,13,381,100,"ungram","sg"
"230","KERNELS","b","22","1","were",5,13,400,100,"ungram","sg"
"231","KERNELS","b","22","1","lined",6,13,2314,100,"ungram","sg"
"232","KERNELS","b","22","1","with",7,13,408,100,"ungram","sg"
"233","KERNELS","b","22","1","lovely",8,13,423,100,"ungram","sg"
"234","KERNELS","b","22","1","trees",9,13,455,100,"ungram","sg"
"235","KERNELS","b","22","1","and",10,13,439,100,"ungram","sg"
"236","KERNELS","b","22","1","flowers,",11,13,516,100,"ungram","sg"
"237","KERNELS","b","22","1","which",12,13,563,100,"ungram","sg"
"238","KERNELS","b","22","1","were",13,13,535,100,"ungram","sg"
"239","KERNELS","b","22","1","cared",14,13,474,100,"ungram","sg"
"240","KERNELS","b","22","1","for",15,13,449,100,"ungram","sg"
"241","KERNELS","b","22","1","by",16,13,565,100,"ungram","sg"
"242","KERNELS","b","22","1","well-trained",17,13,605,100,"ungram","sg"
"243","KERNELS","b","22","1","gardeners.",18,13,374,100,"ungram","sg"
"268","KERNELS","c","19","1","The",1,15,476,100,"ungram","pl"
"269","KERNELS","c","19","1","sudden",2,15,419,100,"ungram","pl"
"270","KERNELS","c","19","1","warnings",3,15,567,100,"ungram","pl"
"271","KERNELS","c","19","1","unsurprisingly",4,15,598,100,"ungram","pl"
"272","KERNELS","c","19","1","was",5,15,1278,100,"ungram","pl"
"273","KERNELS","c","19","1","a",6,15,315,100,"ungram","pl"
"274","KERNELS","c","19","1","major",7,15,371,100,"ungram","pl"
"275","KERNELS","c","19","1","shock",8,15,386,100,"ungram","pl"
"276","KERNELS","c","19","1","to",9,15,426,100,"ungram","pl"
"277","KERNELS","c","19","1","the",10,15,366,100,"ungram","pl"
"278","KERNELS","c","19","1","residents,",11,15,511,100,"ungram","pl"
"279","KERNELS","c","19","1","because",12,15,482,100,"ungram","pl"
"280","KERNELS","c","19","1","they",13,15,418,100,"ungram","pl"
"281","KERNELS","c","19","1","were",14,15,426,100,"ungram","pl"
"282","KERNELS","c","19","1","always",15,15,458,100,"ungram","pl"
"283","KERNELS","c","19","1","told",16,15,405,100,"ungram","pl"
"284","KERNELS","c","19","1","their",17,15,422,100,"ungram","pl"
"285","KERNELS","c","19","1","city",18,15,443,100,"ungram","pl"
"286","KERNELS","c","19","1","was",19,15,411,100,"ungram","pl"
"287","KERNELS","c","19","1","one",20,15,378,100,"ungram","pl"
"288","KERNELS","c","19","1","of",21,15,412,100,"ungram","pl"
"289","KERNELS","c","19","1","the",22,15,484,100,"ungram","pl"
"290","KERNELS","c","19","1","world's",23,15,426,100,"ungram","pl"
"291","KERNELS","c","19","1","safest.",24,15,533,100,"ungram","pl"
"310","KERNELS","c","3","1","The",1,17,307,100,"ungram","pl"
"311","KERNELS","c","3","1","programming",2,17,340,100,"ungram","pl"
"312","KERNELS","c","3","1","mistakes",3,17,434,100,"ungram","pl"
"313","KERNELS","c","3","1","certainly",4,17,538,100,"ungram","pl"
"314","KERNELS","c","3","1","was",5,17,514,100,"ungram","pl"
"315","KERNELS","c","3","1","disastrous",6,17,448,100,"ungram","pl"
"316","KERNELS","c","3","1","for",7,17,370,100,"ungram","pl"
