"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","rchead","gramm"
"127","BAKEROBJ","c","37","1","The",1,8,340,100,"sg","gramm"
"128","BAKEROBJ","c","37","1","columnist",2,8,503,100,"sg","gramm"
"129","BAKEROBJ","c","37","1","who",3,8,804,100,"sg","gramm"
"130","BAKEROBJ","c","37","1","the",4,8,754,100,"sg","gramm"
"131","BAKEROBJ","c","37","1","reader",5,8,627,100,"sg","gramm"
"132","BAKEROBJ","c","37","1","complains",6,8,607,100,"sg","gramm"
"133","BAKEROBJ","c","37","1","about",7,8,737,100,"sg","gramm"
"134","BAKEROBJ","c","37","1","frequently",8,8,723,100,"sg","gramm"
"135","BAKEROBJ","c","37","1","gives",9,8,678,100,"sg","gramm"
"136","BAKEROBJ","c","37","1","extreme",10,8,1200,100,"sg","gramm"
"137","BAKEROBJ","c","37","1","opinions",11,8,861,100,"sg","gramm"
"138","BAKEROBJ","c","37","1","without",12,8,941,100,"sg","gramm"
"139","BAKEROBJ","c","37","1","backing",13,8,411,100,"sg","gramm"
"140","BAKEROBJ","c","37","1","them",14,8,387,100,"sg","gramm"
"141","BAKEROBJ","c","37","1","up.",15,8,535,100,"sg","gramm"
"169","BAKEROBJ","d","10","1","The",1,11,390,100,"sg","ungram"
"170","BAKEROBJ","d","10","1","sculptor",2,11,580,100,"sg","ungram"
"171","BAKEROBJ","d","10","1","who",3,11,605,100,"sg","ungram"
"172","BAKEROBJ","d","10","1","the",4,11,971,100,"sg","ungram"
"173","BAKEROBJ","d","10","1","donor",5,11,1047,100,"sg","ungram"
"174","BAKEROBJ","d","10","1","support",6,11,917,100,"sg","ungram"
"175","BAKEROBJ","d","10","1","so",7,11,1234,100,"sg","ungram"
"176","BAKEROBJ","d","10","1","generously",8,11,1805,100,"sg","ungram"
"177","BAKEROBJ","d","10","1","has",9,11,527,100,"sg","ungram"
"178","BAKEROBJ","d","10","1","held",10,11,603,100,"sg","ungram"
"179","BAKEROBJ","d","10","1","several",11,11,626,100,"sg","ungram"
"180","BAKEROBJ","d","10","1","acclaimed",12,11,1548,100,"sg","ungram"
