"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","gramm","rchead","rcsubj","List"
"222","BAKER","h","48","1","The",1,12,247,100,"gram","pl","pl","1"
"223","BAKER","h","48","1","actresses",2,12,279,100,"gram","pl","pl","1"
"224","BAKER","h","48","1","who",3,12,291,100,"gram","pl","pl","1"
"225","BAKER","h","48","1","the",4,12,286,100,"gram","pl","pl","1"
"226","BAKER","h","48","1","designers",5,12,347,100,"gram","pl","pl","1"
"227","BAKER","h","48","1","create",6,12,293,100,"gram","pl","pl","1"
"228","BAKER","h","48","1","award",7,12,323,100,"gram","pl","pl","1"
"229","BAKER","h","48","1","show",8,12,338,100,"gram","pl","pl","1"
"230","BAKER","h","48","1","dresses",9,12,339,100,"gram","pl","pl","1"
"231","BAKER","h","48","1","for",10,12,320,100,"gram","pl","pl","1"
"232","BAKER","h","48","1","are",11,12,275,100,"gram","pl","pl","1"
"233","BAKER","h","48","1","extremely",12,12,255,100,"gram","pl","pl","1"
"234","BAKER","h","48","1","fickle",13,12,239,100,"gram","pl","pl","1"
"235","BAKER","h","48","1","and",14,12,391,100,"gram","pl","pl","1"
"236","BAKER","h","48","1","demanding.",15,12,340,100,"gram","pl","pl","1"
"358","BAKER","b","34","1","The",1,20,251,100,"ungram","sg","sg","1"
"359","BAKER","b","34","1","quarterback",2,20,221,100,"ungram","sg","sg","1"
"360","BAKER","b","34","1","who",3,20,278,100,"ungram","sg","sg","1"
"361","BAKER","b","34","1","the",4,20,246,100,"ungram","sg","sg","1"
"362","BAKER","b","34","1","recruiter",5,20,250,100,"ungram","sg","sg","1"
"363","BAKER","b","34","1","watch",6,20,267,100,"ungram","sg","sg","1"
"364","BAKER","b","34","1","from",7,20,393,100,"ungram","sg","sg","1"
"365","BAKER","b","34","1","the",8,20,245,100,"ungram","sg","sg","1"
"366","BAKER","b","34","1","bleachers",9,20,243,100,"ungram","sg","sg","1"
"367","BAKER","b","34","1","every",10,20,305,100,"ungram","sg","sg","1"
"368","BAKER","b","34","1","weekend",11,20,249,100,"ungram","sg","sg","1"
"369","BAKER","b","34","1","might",12,20,262,100,"ungram","sg","sg","1"
"370","BAKER","b","34","1","win",13,20,265,100,"ungram","sg","sg","1"
"371","BAKER","b","34","1","a",14,20,302,100,"ungram","sg","sg","1"
"372","BAKER","b","34","1","lucrative",15,20,336,100,"ungram","sg","sg","1"
"373","BAKER","b","34","1","contract.",16,20,503,100,"ungram","sg","sg","1"
"428","BAKER","c","35","1","The",1,24,265,100,"ungram","sg","pl","1"
"429","BAKER","c","35","1","caterer",2,24,246,100,"ungram","sg","pl","1"
"430","BAKER","c","35","1","who",3,24,299,100,"ungram","sg","pl","1"
"431","BAKER","c","35","1","the",4,24,275,100,"ungram","sg","pl","1"
"432","BAKER","c","35","1","hostesses",5,24,264,100,"ungram","sg","pl","1"
"433","BAKER","c","35","1","recommends",6,24,254,100,"ungram","sg","pl","1"
"434","BAKER","c","35","1","to",7,24,446,100,"ungram","sg","pl","1"
"435","BAKER","c","35","1","her",8,24,271,100,"ungram","sg","pl","1"
"436","BAKER","c","35","1","friends",9,24,255,100,"ungram","sg","pl","1"
"437","BAKER","c","35","1","is",10,24,275,100,"ungram","sg","pl","1"
"438","BAKER","c","35","1","excellent",11,24,230,100,"ungram","sg","pl","1"
"439","BAKER","c","35","1","but",12,24,234,100,"ungram","sg","pl","1"
"440","BAKER","c","35","1","outrageously",13,24,221,100,"ungram","sg","pl","1"
"441","BAKER","c","35","1","expensive.",14,24,333,100,"ungram","sg","pl","1"
"500","BAKER","d","28","1","The",1,29,263,100,"gram","sg","pl","1"
"501","BAKER","d","28","1","news",2,29,247,100,"gram","sg","pl","1"
"502","BAKER","d","28","1","anchor",3,29,279,100,"gram","sg","pl","1"
"503","BAKER","d","28","1","who",4,29,274,100,"gram","sg","pl","1"
"504","BAKER","d","28","1","the",5,29,226,100,"gram","sg","pl","1"
"505","BAKER","d","28","1","loyal_viewers",6,29,242,100,"gram","sg","pl","1"
"506","BAKER","d","28","1","trust",7,29,262,100,"gram","sg","pl","1"
"507","BAKER","d","28","1","the",8,29,326,100,"gram","sg","pl","1"
"508","BAKER","d","28","1","most",9,29,292,100,"gram","sg","pl","1"
"509","BAKER","d","28","1","has",10,29,263,100,"gram","sg","pl","1"
"510","BAKER","d","28","1","a",11,29,263,100,"gram","sg","pl","1"
"511","BAKER","d","28","1","slick",12,29,262,100,"gram","sg","pl","1"
"512","BAKER","d","28","1","hairstyle.",13,29,288,100,"gram","sg","pl","1"
"594","BAKER","b","10","1","The",1,35,255,100,"ungram","sg","sg","1"
"595","BAKER","b","10","1","customer",2,35,266,100,"ungram","sg","sg","1"
"596","BAKER","b","10","1","who",3,35,246,100,"ungram","sg","sg","1"
