"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","gramm","match"
"346","BOCK","c","3","1","The",1,20,276,100,"ungram","match"
"347","BOCK","c","3","1","mistake",2,20,283,100,"ungram","match"
"348","BOCK","c","3","1","in",3,20,332,100,"ungram","match"
"349","BOCK","c","3","1","the",4,20,327,100,"ungram","match"
"350","BOCK","c","3","1","program",5,20,380,100,"ungram","match"
"351","BOCK","c","3","1","certainly",6,20,362,100,"ungram","match"
"352","BOCK","c","3","1","were",7,20,380,100,"ungram","match"
"353","BOCK","c","3","1","disastrous",8,20,416,100,"ungram","match"
"354","BOCK","c","3","1","for",9,20,466,100,"ungram","match"
"355","BOCK","c","3","1","the",10,20,364,100,"ungram","match"
"356","BOCK","c","3","1","small",11,20,325,100,"ungram","match"
"357","BOCK","c","3","1","software",12,20,303,100,"ungram","match"
"358","BOCK","c","3","1","company.",13,20,375,100,"ungram","match"
"405","BOCK","d","16","1","The",1,24,397,100,"ungram","mismatch"
"406","BOCK","d","16","1","key",2,24,367,100,"ungram","mismatch"
"407","BOCK","d","16","1","to",3,24,332,100,"ungram","mismatch"
"408","BOCK","d","16","1","the",4,24,324,100,"ungram","mismatch"
"409","BOCK","d","16","1","cells",5,24,303,100,"ungram","mismatch"
"410","BOCK","d","16","1","unsurprisingly",6,24,292,100,"ungram","mismatch"
"411","BOCK","d","16","1","were",7,24,375,100,"ungram","mismatch"
"412","BOCK","d","16","1","rusty",8,24,298,100,"ungram","mismatch"
"413","BOCK","d","16","1","from",9,24,306,100,"ungram","mismatch"
"414","BOCK","d","16","1","many",10,24,309,100,"ungram","mismatch"
"415","BOCK","d","16","1","years",11,24,373,100,"ungram","mismatch"
"416","BOCK","d","16","1","of",12,24,335,100,"ungram","mismatch"
"417","BOCK","d","16","1","disuse.",13,24,284,100,"ungram","mismatch"
"466","BOCK","a","21","1","The",1,28,348,100,"gramm","match"
"467","BOCK","a","21","1","gift",2,28,364,100,"gramm","match"
"468","BOCK","a","21","1","from",3,28,343,100,"gramm","match"
"469","BOCK","a","21","1","the",4,28,340,100,"gramm","match"
"470","BOCK","a","21","1","visitor",5,28,375,100,"gramm","match"
"471","BOCK","a","21","1","apparently",6,28,426,100,"gramm","match"
"472","BOCK","a","21","1","was",7,28,372,100,"gramm","match"
"473","BOCK","a","21","1","a",8,28,365,100,"gramm","match"
"474","BOCK","a","21","1","beautiful",9,28,337,100,"gramm","match"
"475","BOCK","a","21","1","clock",10,28,367,100,"gramm","match"
"476","BOCK","a","21","1","from",11,28,322,100,"gramm","match"
"477","BOCK","a","21","1","Germany.",12,28,337,100,"gramm","match"
"590","BOCK","d","20","1","The",1,36,357,100,"ungram","mismatch"
"591","BOCK","d","20","1","bridge",2,36,332,100,"ungram","mismatch"
"592","BOCK","d","20","1","to",3,36,303,100,"ungram","mismatch"
"593","BOCK","d","20","1","the",4,36,322,100,"ungram","mismatch"
"594","BOCK","d","20","1","islands",5,36,311,100,"ungram","mismatch"
"595","BOCK","d","20","1","apparently",6,36,318,100,"ungram","mismatch"
"596","BOCK","d","20","1","were",7,36,340,100,"ungram","mismatch"
"597","BOCK","d","20","1","about",8,36,365,100,"ungram","mismatch"
"598","BOCK","d","20","1","ten",9,36,480,100,"ungram","mismatch"
"599","BOCK","d","20","1","miles",10,36,351,100,"ungram","mismatch"
"600","BOCK","d","20","1","off",11,36,338,100,"ungram","mismatch"
"601","BOCK","d","20","1","the",12,36,352,100,"ungram","mismatch"
"602","BOCK","d","20","1","main",13,36,327,100,"ungram","mismatch"
"603","BOCK","d","20","1","highway.",14,36,335,100,"ungram","mismatch"
"878","BOCK","c","11","1","The",1,53,449,100,"ungram","match"
"879","BOCK","c","11","1","traitor",2,53,876,100,"ungram","match"
"880","BOCK","c","11","1","in",3,53,364,100,"ungram","match"
"881","BOCK","c","11","1","the",4,53,322,100,"ungram","match"
"882","BOCK","c","11","1","camp",5,53,354,100,"ungram","match"
"883","BOCK","c","11","1","regrettably",6,53,716,100,"ungram","match"
"884","BOCK","c","11","1","were",7,53,431,100,"ungram","match"
"885","BOCK","c","11","1","passing",8,53,434,100,"ungram","match"
"886","BOCK","c","11","1","information",9,53,418,100,"ungram","match"
"887","BOCK","c","11","1","to",10,53,397,100,"ungram","match"
"888","BOCK","c","11","1","the",11,53,398,100,"ungram","match"
"889","BOCK","c","11","1","enemy",12,53,414,100,"ungram","match"
"890","BOCK","c","11","1","through",13,53,365,100,"ungram","match"
"891","BOCK","c","11","1","various",14,53,327,100,"ungram","match"
"892","BOCK","c","11","1","secret",15,53,364,100,"ungram","match"
"893","BOCK","c","11","1","methods.",16,53,359,100,"ungram","match"
"943","BOCK","b","10","1","The",1,57,335,100,"gramm","mismatch"
"944","BOCK","b","10","1","advertisement",2,57,361,100,"gramm","mismatch"
